浦东,黄浦,徐汇,长宁,静安,普陀,虹口,杨浦,闵行,宝山,嘉定,金山,松江,青浦,奉贤,崇明
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,0,1,5,0,0,7,6,13,0,6,0,2,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,10,0,0,0,1,0,13,6,12,1,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,9,1,1,2,0,0,11,11,7,0,14,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,6,0,1,0,0,0,21,2,16,0,9,0,1,0
1,0,0,1,2,1,3,1,3,0,0,0,0,0,0,0
4,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,6,1,1,4,4,0,12,10,5,0,8,4,0,0
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,3,6,1,2,1,2,0,11,6,11,0,4,1,0,0
1,2,4,0,1,0,0,0,6,1,0,4,1,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,1,1,2,0,0,0,10,3,3,4,1,0,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,4,2,5,1,1,0,5,0,5,0,1,0,1,0
1,2,0,0,1,0,0,0,3,0,0,0,0,2,0,0
22,7,8,2,3,2,2,1,15,3,13,5,5,1,1,0
12,2,6,0,1,3,2,2,5,0,1,1,2,1,0,0
0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,18,9,1,5,0,1,0,19,1,21,3,9,0,1,0
9,3,1,0,1,0,2,1,5,1,2,1,0,0,2,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,9,13,3,9,5,5,1,17,7,14,7,7,3,4,0
9,3,10,1,1,4,1,1,9,4,7,1,4,3,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
23,2,0,1,0,2,7,0,7,5,15,0,4,1,2,0
21,6,5,2,3,1,3,2,10,5,22,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,7,8,0,1,1,1,0,3,5,5,0,0,0,0,0
5,0,9,0,0,3,5,2,64,2,3,0,9,0,1,0
6,12,19,1,3,3,1,0,14,7,27,1,1,1,1,3
0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,6,17,2,8,14,12,3,36,17,11,7,7,1,1,0
