浦东,黄浦,徐汇,长宁,静安,普陀,虹口,杨浦,闵行,宝山,嘉定,金山,松江,青浦,奉贤,崇明
2,1,4,0,1,5,0,0,7,6,13,0,6,0,2,0
4,0,13,0,0,1,1,0,13,6,12,1,4,0,0,
3,0,9,1,2,2,0,0,11,11,8,0,14,3,0,0
7,1,6,0,2,0,1,0,22,2,16,,9,0,1,0
9,1,6,1,1,4,6,0,14,10,6,0,8,5,0,0
8,3,8,1,,1,2,0,11,7,12,0,4,1,,0
32,3,1,1,2,0,0,0,11,3,3,4,1,0,0,0
26,8,12,4,8,3,3,1,20,3,18,5,6,1,2,0
13,19,11,1,5,0,2,0,20,1,21,3,9,0,1,0
32,9,14,3,9,5,,1,18,7,14,7,7,3,5,0
23,3,1,1,0,2,7,0,7,5,15,0,4,,2,0
5,1,9,0,0,3,5,2,65,2,3,0,9,0,1,0
36,6,17,2,8,14,12,3,37,18,11,8,8,1,1,0
51,25,20,0,5,17,7,12,1,14,47,3,12,0,4,23
190,38,39,11,31,17,11,6,236,11,38,11,7,4,12,12
128,44,111,23,38,24,23,9,113,61,101,15,31,4,19,35
200,57,78,16,25,17,11,2,285,11,107,4,31,19,7,19
185,17,99,9,46,,23,7,237,52,66,5,32,10,12,52
183,86,143,48,59,34,14,17,467,83,127,10,83,13,18,82
1455,12,2,2,2,6,0,11,196,3,19,1,13,13,0,41
267,144,292,20,100,53,37,14,899,129,234,4,70,20,81,26
1005,49,218,41,61,49,22,26,574,74,236,10,174,35,40,236
2106,266,60,99,90,53,1,41,335,292,172,17,81,51,100,67
1826,57,973,28,156,99,49,88,918,271,233,23,212,85,77,53
1662,278,294,108,79,112,29,92,681,485,108,30,,63,63,191
2085,93,185,179,148,5,96,156,273,5,36,38,146,73,173,27
2428,238,387,32,147,200,43,106,833,16,166,46,453,76,156,83
1829,488,746,81,261,290,175,233,692,397,539,60,549,192,147,110
3311,774,393,85,265,243,157,314,812,372,383,92,234,224,105,163
6524,934,1193,30,44,241,596,201,1340,262,230,50,545,309,60,47
7753,607,828,73,273,467,393,586,2863,534,466,76,751,376,138,76
7959,998,1059,305,502,991,613,601,2354,634,1375,74,776,464,272,62
8320,1321,2022,812,352,925,557,559,2132,401,905,51,731,486,86,259
6755,2532,1370,591,600,1027,355,671,2753,2778,1374,40,735,325,83,165
10404,503,1056,722,562,614,306,1040,4527,2213,348,41,482,547,106,169
6251,1576,2940,376,560,942,1206,1858,3093,1807,1369,52,1812,868,31,53
7823,2144,1681,373,517,1815,1348,1382,2923,968,173,32,671,316,64,53
10625,1732,1061,1104,940,1087,898,1143,4204,267,962,36,702,509,30,67
14472,1350,1444,935,196,433,1470,1181,2849,633,705,34,641,272,80,53
11208,1973,1110,972,245,235,883,813,2354,395,698,26,,294,30,54
9735,1352,1479,541,404,385,1308,1258,1798,1266,721,31,762,515,102,82
9889,1521,1484,679,1111,1286,990,853,2392,1275,650,16,405,297,47,26
7488,1820,1392,704,824,947,1035,871,2340,1431,662,22,894,359,15,30
8215,3200,518,549,982,362,973,472,1191,917,575,7,693,207,13,18
5305,2950,1510,599,1684,500,723,727,1482,951,709,8,322,377,56,75
4180,3016,1352,668,1091,512,793,1966,1627,794,620,17,647,217,31,64
4604,1706,1239,487,2046,475,878,532,2518,962,764,24,491,365,30,115
7748,2573,1145,632,765,486,677,1336,1184,1952,486,25,2561,343,7,112
7228,1905,1694,659,462,468,771,1248,821,2847,731,43,767,380,7,206
5765,1610,1279,734,1653,469,639,1189,1153,2479,591,67,417,245,7,95
3597,2569,1158,477,913,405,1205,1143,677,1686,509,22,573,377,,474
2514,951,746,379,1271,282,1104,1083,725,1677,368,26,256,289,12,455
2474,1405,393,179,1061,279,1034,501,285,1064,283,33,179,205,3,194
2045,1312,1096,400,1040,156,972,746,372,961,398,21,165,137,4,37
1939,1157,438,323,1177,118,1008,751,380,1093,255,18,124,121,25,269
1603,1047,362,142,903,92,555,322,381,1045,221,11,86,109,3,307
